,country,name,coefficient, tvalue,pvalue,tvalue
0,1,const,-0.4741991502724228,,0.0003796909409903883,-3.556509289155782
1,1,right,3.863279623101705e-17,,0.7956684460349921,0.2589723428623041
2,1,center,-0.2482759331201136,,0.00454822856245697,-2.8388320745540967
3,1,left,0.4409054200021102,,3.0841188614080184e-10,6.308747826353735
4,1,years_inoffice,0.028456085598868135,,0.0033177147495011237,2.9382300998521442
5,1,change,0.14993070234336278,,0.21316922932343021,1.2450747301904448
6,1,election,0.13125223515179396,,0.11094297357553172,1.5942831882130388
7,1,partner_right,0.12060061610169076,,0.36850685062478783,0.8993643100787718
8,1,partner_center,0.15653894498255821,,0.20803779319247442,1.2591604971150443
9,1,partner_left,0.17873860104337397,,0.16077078121115626,1.402715569709521
10,1,partner_years_inoffice,0.005127613398952059,,0.136028450852095,1.4910124160486151
11,1,partner_change,-0.14132445805412075,,0.0003916882855112946,-3.5483014261934827
12,1,partner_election,0.0405735772164387,,0.6014697180665123,0.5223251497658282
0,2,const,0.3164009117533658,,0.05692089759601808,1.904650833200348
1,2,right,0.21035720176744271,,0.07491067836239888,1.7816294368710865
2,2,center,6.971019722398004e-16,,0.2401863917738475,1.1747536688687943
3,2,left,0.10604370998592276,,0.24947159366030364,1.1518567779627125
4,2,years_inoffice,0.01857501095180778,,0.0004225714024567648,3.5295149898609397
5,2,change,-0.18244488085204622,,0.01369553361109676,-2.466604177874975
6,2,election,-0.24523376121758503,,0.05189421090561853,-1.9447837869232363
7,2,partner_right,0.37722538172882925,,0.13582033469262408,1.491938263234881
8,2,partner_center,0.5297556296890891,,0.02552424313528965,2.2344882281069998
9,2,partner_left,0.45528529626737224,,0.06124101389127226,1.8724531047186384
10,2,partner_years_inoffice,0.0036358626728763047,,0.5967867283648891,0.5290833414748194
11,2,partner_change,-0.10798203802805066,,0.12686999708818186,-1.5269850855297917
12,2,partner_election,-0.024813616835006262,,0.8587807419362596,-0.17794172216357917
0,3,const,-2226381085945.017,,0.02539185506572822,-2.2361719715835586
1,3,right,3786016741.8361554,,0.025391855065760093,2.2361719715830723
2,3,center,2226381085944.39,,0.02539185506577904,2.236171971582783
3,3,left,2226381085944.2847,,0.025391855065773287,2.2361719715828707
4,3,years_inoffice,0.03713201557515296,,6.973748847143357e-08,5.401333723562887
5,3,change,0.29819476670679634,,5.0886219966148297e-05,4.05564484500685
6,3,election,0.5271314368850114,,4.324850117337458e-06,4.601071353909541
7,3,partner_right,0.22680212748963371,,0.19318245637080564,1.3014268384651972
8,3,partner_center,0.28113414837096073,,0.08029095644819001,1.7494152320990235
9,3,partner_left,0.40274163660809914,,0.015068944649639437,2.4316993034967793
10,3,partner_years_inoffice,0.0016306427975298632,,0.6834306147787862,0.40781403045529846
11,3,partner_change,-0.08676625860114208,,0.07514760601106857,-1.7799957239334654
12,3,partner_election,-0.003748484865968231,,0.9687244847415544,-0.03921038302280281
0,6,right,0.0,,,
1,6,center,-1.4629054609288105e-16,,0.4734422992792149,-0.7169601177210873
2,6,left,-0.17193939213067277,,0.33602354627573117,-0.9621724630004487
3,6,years_inoffice,0.006029406653018262,,0.0589367109642836,1.8892267353635241
4,6,change,-0.2850924322106572,,0.3744704532962654,-0.8882341084742033
5,6,election,0.8309265736236061,,1.5447938733071565e-06,4.812897432832936
6,6,partner_right,0.551447253949475,,0.003333066241239707,2.9370623997780343
7,6,partner_center,0.569555433374477,,0.0012534000729738095,3.228838849930028
8,6,partner_left,0.6742232118239454,,0.00017804299725001637,3.751966694519411
9,6,partner_years_inoffice,-0.007946260626305138,,0.08006302282618138,-1.7507835796499425
10,6,partner_change,0.04273913917652895,,0.41864727970373183,0.808857387499017
11,6,partner_election,0.023947017068663937,,0.8234471349298924,0.2231287925609517
0,9,const,-0.20808736781038797,,0.13459317177670438,-1.496534087437272
1,9,right,-0.2288430535545407,,0.008951654009202762,-2.6151710224023135
2,9,center,-0.2652311480039054,,0.00012679244729404677,-3.8363561235646517
3,9,left,0.2859868337480647,,2.8373696967098537e-06,4.688949432473294
4,9,years_inoffice,-0.06367511361163868,,0.0007206896987241853,-3.3842063304091985
5,9,change,0.721264018940504,,3.9668771442973563e-35,12.48605880762224
6,9,election,-0.24243285702995826,,0.006999789338500818,-2.6982448815895395
7,9,partner_right,0.1298526810656937,,0.4678039443661306,0.7261258921748336
8,9,partner_center,0.31226565208225415,,0.06896195029686487,1.819157128550526
9,9,partner_left,0.27697428495056453,,0.11610864429971245,1.5716583364053978
10,9,partner_years_inoffice,0.014883148577196846,,0.0004400118445377626,3.5177706186704536
