,country,type,value
0,1,R-Squared,0.02187438101294581
1,1,Adjusted R-Squared,0.019479149087554548
0,2,R-Squared,0.018999023102044155
1,2,Adjusted R-Squared,0.015733374044461068
0,3,R-Squared,0.020941249239289195
1,3,Adjusted R-Squared,0.01865319420128808
0,6,R-Squared,0.011439091500720755
1,6,Adjusted R-Squared,0.00912275508403404
0,9,R-Squared,0.06794747920629285
1,9,Adjusted R-Squared,0.06539263800800454
0,10,R-Squared,0.03048537076719915
1,10,Adjusted R-Squared,0.027445080989117243
0,12,R-Squared,0.051719659580432564
1,12,Adjusted R-Squared,0.049864651089783885
0,13,R-Squared,0.02938686307289462
1,13,Adjusted R-Squared,0.027156081328635562
0,14,R-Squared,0.1349057121435029
1,14,Adjusted R-Squared,0.1322246348051047
0,15,R-Squared,0.036167499866413655
1,15,Adjusted R-Squared,0.03139368857303282
0,16,R-Squared,0.007448298496159356
1,16,Adjusted R-Squared,0.004644480130329365
0,17,R-Squared,0.018745413392098564
1,17,Adjusted R-Squared,0.015680589071615736
0,18,R-Squared,0.032096797255604215
1,18,Adjusted R-Squared,0.02638982082432828
0,19,R-Squared,0.12441312097341062
1,19,Adjusted R-Squared,0.12127256545322906
0,20,R-Squared,0.029582329501027904
1,20,Adjusted R-Squared,0.027458454774508034
0,21,R-Squared,0.03983413139963654
1,21,Adjusted R-Squared,0.03572305013541044
0,22,R-Squared,0.04199890487803226
1,22,Adjusted R-Squared,0.03830955534611202
0,24,R-Squared,0.027549981983966076
1,24,Adjusted R-Squared,0.022086779635561493
0,25,R-Squared,0.03399218338151144
1,25,Adjusted R-Squared,0.03020526749312813
0,27,R-Squared,0.026780181993769858
1,27,Adjusted R-Squared,0.023816436830446652
0,28,R-Squared,0.03939818377345716
1,28,Adjusted R-Squared,0.037039036647203094
0,30,R-Squared,0.07166875893377633
1,30,Adjusted R-Squared,0.06825218759441587
0,31,R-Squared,0.011570114257006159
1,31,Adjusted R-Squared,0.00890588275904669
0,32,R-Squared,0.026775237052278578
1,32,Adjusted R-Squared,0.021949329136835227
0,33,R-Squared,0.014952013601514547
1,33,Adjusted R-Squared,0.01155822208937507
0,34,R-Squared,0.03458175891429305
1,34,Adjusted R-Squared,0.03171531520560622
0,35,R-Squared,0.02036915804631434
1,35,Adjusted R-Squared,0.017479391550875856
0,36,R-Squared,0.010074400707409947
1,36,Adjusted R-Squared,0.008294279147811667
0,37,R-Squared,0.03315062319845208
1,37,Adjusted R-Squared,0.027551109433192056
0,39,R-Squared,0.030047680666648535
1,39,Adjusted R-Squared,0.025155669885966847
0,40,R-Squared,0.009080375681189579
1,40,Adjusted R-Squared,0.006343028652684657
0,41,R-Squared,0.06253404963168707
1,41,Adjusted R-Squared,0.059449434494747266
0,42,R-Squared,0.010300102546427992
1,42,Adjusted R-Squared,0.009078627819549268
0,43,R-Squared,0.03312356538458017
1,43,Adjusted R-Squared,0.026449698709063885
0,44,R-Squared,0.026246945600909455
1,44,Adjusted R-Squared,0.023578397904556847
0,45,R-Squared,0.0202148563666259
1,45,Adjusted R-Squared,0.014276764587029644
0,46,R-Squared,0.01934891900323954
1,46,Adjusted R-Squared,0.01672246816695766
0,48,R-Squared,0.08761545588843533
1,48,Adjusted R-Squared,0.0840049115904078
0,49,R-Squared,0.04696263566900416
1,49,Adjusted R-Squared,0.043255521123794494
0,50,R-Squared,0.016953016484451577
1,50,Adjusted R-Squared,0.015348696641912962
0,51,R-Squared,0.044905008131609914
1,51,Adjusted R-Squared,0.04167536014189188
0,52,R-Squared,0.008822898906528098
1,52,Adjusted R-Squared,0.0061093727462424585
0,53,R-Squared,0.010511084441716556
1,53,Adjusted R-Squared,0.00814784365939425
0,54,R-Squared,0.03595677441654599
1,54,Adjusted R-Squared,0.03272579586410884
0,56,R-Squared,0.062214258028021385
1,56,Adjusted R-Squared,0.057998629437219784
0,57,R-Squared,0.028827270521426196
1,57,Adjusted R-Squared,0.027130157844311942
