"year","tone","country_iso","country_name","partner_iso","partner_name"
1979,0.44106520234181,CHE,Switzerland,USA,United States of America
1979,0.74351141884567,RUS,Russia,UKR,Ukraine
1979,-0.40416706349738174,DEU,Germany,CHE,Switzerland
1979,0.36047303255786023,DEU,Germany,USA,United States of America
1980,-0.8887424714209731,DEU,Germany,CHE,Switzerland
1980,0.5488192248123731,DEU,Germany,USA,United States of America
1980,-0.06399101303503762,RUS,Russia,UKR,Ukraine
1980,0.3833314010950293,CHE,Switzerland,USA,United States of America
1981,0.3300074566322193,RUS,Russia,UKR,Ukraine
1981,0.520830439678531,CHE,Switzerland,USA,United States of America
1981,-0.6468385593974997,DEU,Germany,CHE,Switzerland
1981,0.407607201366301,DEU,Germany,USA,United States of America
1982,0.6919707159520181,DEU,Germany,USA,United States of America
1982,1.1920313439998953,CHE,Switzerland,USA,United States of America
1982,0.6194017895079726,RUS,Russia,UKR,Ukraine
1982,-0.25262474359997267,DEU,Germany,CHE,Switzerland
1983,0.49214509875657964,DEU,Germany,USA,United States of America
1983,-0.11484053354992962,DEU,Germany,CHE,Switzerland
1983,1.4085104856977706,RUS,Russia,UKR,Ukraine
1983,0.9530912088248433,CHE,Switzerland,USA,United States of America
1984,-0.472363209017602,DEU,Germany,CHE,Switzerland
1984,0.9478892720293217,CHE,Switzerland,USA,United States of America
1984,0.5472261126601188,DEU,Germany,USA,United States of America
1984,0.23629274974407988,RUS,Russia,UKR,Ukraine
1985,1.345413330532284,CHE,Switzerland,USA,United States of America
1985,-0.004132527146392562,DEU,Germany,CHE,Switzerland
1985,0.24961533559358617,RUS,Russia,UKR,Ukraine
1985,0.7219304816928913,DEU,Germany,USA,United States of America
1986,0.6626519979726329,DEU,Germany,USA,United States of America
1986,1.015081915828227,CHE,Switzerland,USA,United States of America
1986,-0.989618182795232,DEU,Germany,CHE,Switzerland
1986,-0.20351241346804017,RUS,Russia,UKR,Ukraine
1987,-1.355286147074723,DEU,Germany,CHE,Switzerland
1987,0.2576835152381154,DEU,Germany,USA,United States of America
1987,0.10931665890094688,RUS,Russia,UKR,Ukraine
1987,1.1161397534528632,CHE,Switzerland,USA,United States of America
1988,0.09375093704492166,DEU,Germany,USA,United States of America
1988,-0.26423664359129084,DEU,Germany,CHE,Switzerland
1988,1.1046110314363,CHE,Switzerland,USA,United States of America
1988,0.4104620621472268,RUS,Russia,UKR,Ukraine
1989,1.2429903186031277,CHE,Switzerland,USA,United States of America
1989,0.3469484481735492,DEU,Germany,USA,United States of America
1989,0.15691258307104494,DEU,Germany,CHE,Switzerland
1989,0.09964771252437643,RUS,Russia,UKR,Ukraine
1990,0.7905335106398059,DEU,Germany,USA,United States of America
1990,-0.13728554204903887,DEU,Germany,CHE,Switzerland
1990,0.22845900770141903,RUS,Russia,UKR,Ukraine
1990,0.8057859297632497,CHE,Switzerland,USA,United States of America
1991,0.7904438778406435,DEU,Germany,USA,United States of America
1991,-1.005754807526654,DEU,Germany,CHE,Switzerland
