"number","relationship","country_iso","country_name","partner_iso","partner_name"
2937848,17812,ISR,Israel,PSE,State of Palestine
2633778,25125,RUS,Russia,USA,United States of America
2562297,8871,CHN,China,USA,United States of America
2358062,26938,GBR,United Kingdom,USA,United States of America
1689342,17836,ISR,Israel,USA,United States of America
1628180,17425,IRN,Iran,USA,United States of America
1581191,7710,CAN,Canada,USA,United States of America
1446597,25122,RUS,Russia,UKR,Ukraine
1361225,17563,IRQ,Iraq,USA,United States of America
1333200,220,AFG,Afghanistan,USA,United States of America
1312058,21763,MEX,Mexico,USA,United States of America
1271576,13813,FRA,France,USA,United States of America
1177096,18370,JPN,Japan,USA,United States of America
953614,153,AFG,Afghanistan,PAK,Pakistan
950086,14770,DEU,Germany,USA,United States of America
939712,2706,AUS,Australia,USA,United States of America
897896,26581,SYR,Syria,USA,United States of America
848373,23935,PAK,Pakistan,USA,United States of America
793401,11616,PRK,DPR Korea,USA,United States of America
759751,25107,RUS,Russia,SYR,Syria
724769,26573,SYR,Syria,TUR,Turkey
711723,13812,FRA,France,GBR,United Kingdom
707419,8751,CHN,China,JPN,Japan
695622,8821,CHN,China,RUS,Russia
686603,11561,PRK,DPR Korea,KOR,Republic of Korea
684603,26826,TUR,Turkey,USA,United States of America
671161,10363,CUB,Cuba,USA,United States of America
640442,17299,IRN,Iran,IRQ,Iraq
631486,17699,IRL,Ireland,GBR,United Kingdom
610938,24805,KOR,Republic of Korea,USA,United States of America
592598,17971,ITA,Italy,USA,United States of America
570147,12138,EGY,Egypt,USA,United States of America
552441,25124,RUS,Russia,GBR,United Kingdom
537732,26911,UKR,Ukraine,USA,United States of America
530467,12014,EGY,Egypt,ISR,Israel
524176,17301,IRN,Iran,ISR,Israel
508554,13668,FRA,France,DEU,Germany
504427,25791,SAU,Saudi Arabia,USA,United States of America
497818,17375,IRN,Iran,RUS,Russia
488054,25117,RUS,Russia,TUR,Turkey
474198,8870,CHN,China,GBR,United Kingdom
459278,17818,ISR,Israel,SYR,Syria
459194,26386,PSE,State of Palestine,USA,United States of America
458309,19495,LBN,Lebanon,SYR,Syria
439695,26313,ESP,Spain,USA,United States of America
436025,26957,USA,United States of America,VNM,Vietnam
433046,14720,DEU,Germany,RUS,Russia
432717,14769,DEU,Germany,GBR,United Kingdom
428236,24388,PHL,Philippines,USA,United States of America
410367,17725,ISR,Israel,LBN,Lebanon
409759,18315,JPN,Japan,KOR,Republic of Korea
407718,17700,IRL,Ireland,USA,United States of America
400224,2705,AUS,Australia,GBR,United Kingdom
400012,17407,IRN,Iran,SYR,Syria
395069,7709,CAN,Canada,GBR,United Kingdom
379739,2527,AUS,Australia,CHN,China
375949,13763,FRA,France,RUS,Russia
374054,8707,CHN,China,PRK,DPR Korea
369070,8804,CHN,China,PAK,Pakistan
362895,2056,ARM,Armenia,AZE,Azerbaijan
351628,18501,JOR,Jordan,USA,United States of America
342871,8816,CHN,China,KOR,Republic of Korea
338363,17387,IRN,Iran,SAU,Saudi Arabia
330921,8810,CHN,China,PHL,Philippines
327127,17545,IRQ,Iraq,SYR,Syria
326008,15081,GRC,Greece,USA,United States of America
321538,17079,IND,India,PAK,Pakistan
321538,2630,AUS,Australia,NZL,New Zealand
320290,17417,IRN,Iran,TUR,Turkey
312695,12114,EGY,Egypt,PSE,State of Palestine
309119,17717,ISR,Israel,JOR,Jordan
305388,17146,IND,India,USA,United States of America
304506,17424,IRN,Iran,GBR,United Kingdom
301963,8693,CHN,China,TWN,Chinese Taipei
301826,26551,CHE,Switzerland,USA,United States of America
288364,17555,IRQ,Iraq,TUR,Turkey
277065,19876,LBY,Libya,USA,United States of America
271058,15073,GRC,Greece,TUR,Turkey
270935,6106,BRA,Brazil,USA,United States of America
265033,4175,BLR,Belarus,RUS,Russia
264689,23446,NGA,Nigeria,USA,United States of America
262726,11496,PRK,DPR Korea,JPN,Japan
262171,7531,CAN,Canada,CHN,China
261548,25801,SAU,Saudi Arabia,YEM,Yemen
261020,24531,POL,Poland,USA,United States of America
259954,26956,USA,United States of America,VEN,Venezuela
251959,19513,LBN,Lebanon,USA,United States of America
249085,18320,JPN,Japan,RUS,Russia
245808,8720,CHN,China,FRA,France
240935,22921,NLD,Netherlands,USA,United States of America
238394,8878,CHN,China,VNM,Vietnam
234530,26580,SYR,Syria,GBR,United Kingdom
232054,23934,PAK,Pakistan,GBR,United Kingdom
228695,26312,ESP,Spain,GBR,United Kingdom
228351,17786,ISR,Israel,RUS,Russia
227727,17562,IRQ,Iraq,GBR,United Kingdom
225325,17828,ISR,Israel,TUR,Turkey
224873,13686,FRA,France,IRN,Iran
220448,13690,FRA,France,ITA,Italy
212810,2213,ARM,Armenia,RUS,Russia
210307,2578,AUS,Australia,IDN,Indonesia
208365,17835,ISR,Israel,GBR,United Kingdom
204519,17358,IRN,Iran,PAK,Pakistan
202506,8744,CHN,China,IRN,Iran
201042,17970,ITA,Italy,GBR,United Kingdom
200720,219,AFG,Afghanistan,GBR,United Kingdom
199289,14762,DEU,Germany,TUR,Turkey
196440,93,AFG,Afghanistan,IRN,Iran
194570,9250,COL,Colombia,USA,United States of America
194505,8726,CHN,China,DEU,Germany
188973,8771,CHN,China,MYS,Malaysia
184777,26960,USA,United States of America,YEM,Yemen
184613,3095,AZE,Azerbaijan,RUS,Russia
182663,23188,NZL,New Zealand,USA,United States of America
180587,16431,HTI,Haiti,USA,United States of America
180361,20911,MDV,Maldives,USA,United States of America
179257,18483,JOR,Jordan,SYR,Syria
175053,18760,KEN,Kenya,USA,United States of America
172252,10537,CYP,Cyprus,TUR,Turkey
171969,18731,KEN,Kenya,SOM,Somalia
171933,17286,IDN,Indonesia,USA,United States of America
171147,170,AFG,Afghanistan,RUS,Russia
171144,14643,DEU,Germany,IRN,Iran
170915,4438,BEL,Belgium,USA,United States of America
170569,4437,BEL,Belgium,GBR,United Kingdom
170257,23445,NGA,Nigeria,GBR,United Kingdom
169049,2255,ARM,Armenia,TUR,Turkey
167441,13795,FRA,France,SYR,Syria
167088,24481,POL,Poland,RUS,Russia
164986,7559,CAN,Canada,FRA,France
160963,26196,SOM,Somalia,USA,United States of America
159964,14647,DEU,Germany,ITA,Italy
159068,2521,AUS,Australia,CAN,Canada
157095,2586,AUS,Australia,JPN,Japan
156777,13689,FRA,France,ISR,Israel
155496,17186,IDN,Indonesia,MYS,Malaysia
153777,25783,SAU,Saudi Arabia,TUR,Turkey
153513,12100,EGY,Egypt,SAU,Saudi Arabia
151041,23897,PAK,Pakistan,SAU,Saudi Arabia
150046,7619,CAN,Canada,MEX,Mexico
145989,20800,MYS,Malaysia,USA,United States of America
142535,18369,JPN,Japan,GBR,United Kingdom
140336,17314,IRN,Iran,LBN,Lebanon
139805,2040,ARG,Argentina,USA,United States of America
139797,26665,THA,Thailand,USA,United States of America
139561,13787,FRA,France,ESP,Spain
139349,4287,BEL,Belgium,FRA,France
138974,12085,EGY,Egypt,SDN,Republic of the Sudan
136620,26925,ARE,United Arab Emirates,USA,United States of America
136599,22551,MMR,Myanmar,USA,United States of America
136019,8742,CHN,China,IND,India
135775,24936,SDN,Republic of the Sudan,USA,United States of America
135562,94,AFG,Afghanistan,IRQ,Iraq
134374,18477,JOR,Jordan,PSE,State of Palestine
133929,11566,PRK,DPR Korea,RUS,Russia
130946,18581,KAZ,Kazakhstan,RUS,Russia
129957,12120,EGY,Egypt,SYR,Syria
128826,23776,NOR,Norway,USA,United States of America
128377,25773,SAU,Saudi Arabia,SYR,Syria
128213,24738,QAT,Qatar,USA,United States of America
128015,26520,SWE,Sweden,USA,United States of America
128009,10906,DNK,Denmark,USA,United States of America
126186,8680,CHL,Chile,USA,United States of America
126170,3137,AZE,Azerbaijan,TUR,Turkey
125789,17444,IRQ,Iraq,JOR,Jordan
124491,10402,CYP,Cyprus,GRC,Greece
123818,14767,DEU,Germany,UKR,Ukraine
123450,24315,PER,Peru,USA,United States of America
123157,14646,DEU,Germany,ISR,Israel
122516,9061,TWN,Chinese Taipei,USA,United States of America
121900,24700,QAT,Qatar,SAU,Saudi Arabia
121594,17798,ISR,Israel,SAU,Saudi Arabia
120907,26026,SGP,Singapore,USA,United States of America
120157,7300,KHM,Cambodia,THA,Thailand
119581,2555,AUS,Australia,FRA,France
117449,20767,MYS,Malaysia,SGP,Singapore
117170,18238,JAM,Jamaica,USA,United States of America
116663,24090,PAN,Panama,USA,United States of America
116322,14711,DEU,Germany,POL,Poland
116265,17306,IRN,Iran,JOR,Jordan
116096,26825,TUR,Turkey,GBR,United Kingdom
116027,2263,ARM,Armenia,USA,United States of America
115515,19875,LBY,Libya,GBR,United Kingdom
114973,22920,NLD,Netherlands,GBR,United Kingdom
114553,8856,CHN,China,THA,Thailand
113904,17448,IRQ,Iraq,KWT,Kuwait
113367,12019,EGY,Egypt,JOR,Jordan
110837,12030,EGY,Egypt,LBY,Libya
110556,13805,FRA,France,TUR,Turkey
109378,12088,EGY,Egypt,RUS,Russia
109166,18309,JPN,Japan,PHL,Philippines
108926,25790,SAU,Saudi Arabia,GBR,United Kingdom
106765,16576,HND,Honduras,USA,United States of America
106371,8838,CHN,China,SGP,Singapore
106214,8743,CHN,China,IDN,Indonesia
105948,3363,BHS,Bahamas,USA,United States of America
105888,17525,IRQ,Iraq,SAU,Saudi Arabia
105139,14627,DEU,Germany,GRC,Greece
104916,17513,IRQ,Iraq,RUS,Russia
104169,9256,COL,Colombia,VEN,Venezuela
103674,6334,BRN,Brunei Darussalam,CHN,China
103311,7322,KHM,Cambodia,VNM,Vietnam
102752,3018,AZE,Azerbaijan,IRN,Iran
101877,12137,EGY,Egypt,GBR,United Kingdom
101620,22536,MMR,Myanmar,THA,Thailand
100351,15841,GTM,Guatemala,USA,United States of America
100011,12310,SLV,El Salvador,USA,United States of America
99614,3796,BGD,Bangladesh,USA,United States of America
98975,8791,CHN,China,NPL,Nepal
98611,4222,BLR,Belarus,UKR,Ukraine
98133,24909,SDN,Republic of the Sudan,SSD,South Sudan
97686,17145,IND,India,GBR,United Kingdom
97561,26962,USA,United States of America,ZWE,Zimbabwe
97298,41,AFG,Afghanistan,CHN,China
97167,23187,NZL,New Zealand,GBR,United Kingdom
97066,24528,POL,Poland,UKR,Ukraine
96383,12935,ETH,Ethiopia,SDN,Republic of the Sudan
96175,35,AFG,Afghanistan,CAN,Canada
96124,12959,ETH,Ethiopia,SOM,Somalia
96096,25789,SAU,Saudi Arabia,ARE,United Arab Emirates
95700,12495,ERI,Eritrea,ETH,Ethiopia
95599,7660,CAN,Canada,RUS,Russia
95259,17945,ITA,Italy,ESP,Spain
94399,23885,PAK,Pakistan,RUS,Russia
93603,2926,AUT,Austria,USA,United States of America
93279,25087,RUS,Russia,SAU,Saudi Arabia
92464,13693,FRA,France,JPN,Japan
92241,17921,ITA,Italy,RUS,Russia
91559,26236,ZAF,South Africa,USA,United States of America
90403,18756,KEN,Kenya,UGA,Uganda
90391,20739,MYS,Malaysia,PHL,Philippines
90319,26910,UKR,Ukraine,GBR,United Kingdom
90247,2606,AUS,Australia,MYS,Malaysia
90147,13687,FRA,France,IRQ,Iraq
89567,75,AFG,Afghanistan,DEU,Germany
88991,13702,FRA,France,LBN,Lebanon
88918,21966,MCO,Monaco,USA,United States of America
88341,12130,EGY,Egypt,TUR,Turkey
87770,7590,CAN,Canada,JPN,Japan
87062,3145,AZE,Azerbaijan,USA,United States of America
85485,2039,ARG,Argentina,GBR,United Kingdom
85468,19475,LBN,Lebanon,SAU,Saudi Arabia
85371,14752,DEU,Germany,SYR,Syria
85082,23927,PAK,Pakistan,TUR,Turkey
85003,26368,PSE,State of Palestine,SYR,Syria
84778,11987,EGY,Egypt,FRA,France
84723,13650,FIN,Finland,USA,United States of America
84547,24755,KOR,Republic of Korea,RUS,Russia
84529,26519,SWE,Sweden,GBR,United Kingdom
84491,7565,CAN,Canada,DEU,Germany
84465,12011,EGY,Egypt,IRN,Iran
84463,25106,RUS,Russia,CHE,Switzerland
84426,3667,BGD,Bangladesh,IND,India
83615,8788,CHN,China,MMR,Myanmar
82944,14744,DEU,Germany,ESP,Spain
82272,20785,MYS,Malaysia,THA,Thailand
82202,15080,GRC,Greece,GBR,United Kingdom
81926,18463,JOR,Jordan,SAU,Saudi Arabia
81493,19756,LBR,Liberia,USA,United States of America
81098,23275,NIC,Nicaragua,USA,United States of America
80956,13600,FIN,Finland,RUS,Russia
80766,12988,ETH,Ethiopia,USA,United States of America
80381,12012,EGY,Egypt,IRQ,Iraq
80342,19489,LBN,Lebanon,PSE,State of Palestine
80104,18377,JPN,Japan,VNM,Vietnam
79884,8846,CHN,China,LKA,Sri Lanka
79604,2781,AUT,Austria,DEU,Germany
79158,16285,GUY,Guyana,USA,United States of America
78824,8795,CHN,China,NZL,New Zealand
78447,25108,RUS,Russia,TJK,Tajikistan
78373,26550,CHE,Switzerland,GBR,United Kingdom
77519,12082,EGY,Egypt,QAT,Qatar
77199,19015,KWT,Kuwait,USA,United States of America
77137,13810,FRA,France,UKR,Ukraine
77010,4293,BEL,Belgium,DEU,Germany
76683,10726,CZE,Czechia,USA,United States of America
76614,11965,ECU,Ecuador,USA,United States of America
76483,24530,POL,Poland,GBR,United Kingdom
76361,7136,KHM,Cambodia,CHN,China
76132,14926,GHA,Ghana,USA,United States of America
75972,26350,LKA,Sri Lanka,USA,United States of America
75525,26924,ARE,United Arab Emirates,GBR,United Kingdom
75457,3729,BGD,Bangladesh,PAK,Pakistan
75072,18759,KEN,Kenya,GBR,United Kingdom
74994,3713,BGD,Bangladesh,MMR,Myanmar
74955,8748,CHN,China,ITA,Italy
74801,17435,IRN,Iran,YEM,Yemen
74439,26672,THA,Thailand,VNM,Vietnam
74429,17401,IRN,Iran,PSE,State of Palestine
74231,19091,KGZ,Kyrgyzstan,RUS,Russia
74168,8488,TCD,Chad,USA,United States of America
73986,14691,DEU,Germany,NLD,Netherlands
73709,5488,BOL,Bolivia,USA,United States of America
73230,17225,IDN,Indonesia,PHL,Philippines
73198,25182,RWA,Rwanda,UGA,Uganda
72975,2799,AUT,Austria,IRN,Iran
72754,17863,ITA,Italy,LBY,Libya
72185,13794,FRA,France,CHE,Switzerland
72107,26385,PSE,State of Palestine,GBR,United Kingdom
71641,14650,DEU,Germany,JPN,Japan
71203,17253,IDN,Indonesia,SGP,Singapore
70834,5927,BRA,Brazil,CHN,China
70043,20063,LTU,Lithuania,RUS,Russia
69950,26955,USA,United States of America,VAT,Vatican
68906,17406,IRN,Iran,CHE,Switzerland
68633,13705,FRA,France,LBY,Libya
68535,7692,CAN,Canada,SYR,Syria
68465,19868,LBY,Libya,TUR,Turkey
68409,17439,IRQ,Iraq,ISR,Israel
67724,23288,NER,Niger,NGA,Nigeria
67635,13734,FRA,France,NLD,Netherlands
67522,26950,GBR,United Kingdom,ZWE,Zimbabwe
67314,164,AFG,Afghanistan,QAT,Qatar
67291,8747,CHN,China,ISR,Israel
