"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
1979,4.7165243980690015,DEU,Germany,GRC,Greece,1
1979,9.220922240354009,DEU,Germany,GRC,Greece,2
1980,0.25497581054216845,DEU,Germany,GRC,Greece,1
1981,0.392674565042439,DEU,Germany,GRC,Greece,1
1982,1.8930156281306827,DEU,Germany,GRC,Greece,2
1982,-0.2209749493844173,DEU,Germany,GRC,Greece,1
1983,-1.891183275517717,DEU,Germany,GRC,Greece,1
1984,-0.07213858926669303,DEU,Germany,GRC,Greece,1
1984,0.4565381574884384,DEU,Germany,GRC,Greece,2
1985,-0.4380775769270864,DEU,Germany,GRC,Greece,1
1985,3.2667034114082583,DEU,Germany,GRC,Greece,2
1986,0.7102352434896879,DEU,Germany,GRC,Greece,3
1986,-0.6056664981825621,DEU,Germany,GRC,Greece,1
1987,-0.7461791768944668,DEU,Germany,GRC,Greece,1
1987,-1.271527053999197,DEU,Germany,GRC,Greece,2
1988,-1.3451775891806155,DEU,Germany,GRC,Greece,1
1988,2.4098171487858737,DEU,Germany,GRC,Greece,2
1989,-0.7539070552366898,DEU,Germany,GRC,Greece,1
1990,-0.4890929263420549,DEU,Germany,GRC,Greece,1
1991,-0.4229501426550959,DEU,Germany,GRC,Greece,1
1991,-0.10488893902850638,DEU,Germany,GRC,Greece,2
1992,-3.4566478173248036,DEU,Germany,GRC,Greece,2
1992,-1.1748253733260356,DEU,Germany,GRC,Greece,1
1993,-2.412286258972683,DEU,Germany,GRC,Greece,3
1993,-2.0899376006253783,DEU,Germany,GRC,Greece,2
1993,-0.3492546598878832,DEU,Germany,GRC,Greece,1
1994,-0.05879996328572634,DEU,Germany,GRC,Greece,2
1994,-0.4279539373001944,DEU,Germany,GRC,Greece,1
1994,1.5299351308606903,DEU,Germany,GRC,Greece,3
1995,0.12702427090165447,DEU,Germany,GRC,Greece,2
1995,-0.47646908333338267,DEU,Germany,GRC,Greece,1
1996,-2.2185918262420636,DEU,Germany,GRC,Greece,2
1996,-1.0783339813369794,DEU,Germany,GRC,Greece,1
1997,-1.2572446418480254,DEU,Germany,GRC,Greece,2
1997,-0.47633806241614174,DEU,Germany,GRC,Greece,1
1997,-1.145975611183779,DEU,Germany,GRC,Greece,3
1998,-1.0795197751785812,DEU,Germany,GRC,Greece,2
1998,-1.168725522995377,DEU,Germany,GRC,Greece,1
1998,-0.502447217038676,DEU,Germany,GRC,Greece,3
1999,-1.179316819705936,DEU,Germany,GRC,Greece,2
1999,-0.3641584555532891,DEU,Germany,GRC,Greece,1
1999,-0.6069963675553245,DEU,Germany,GRC,Greece,3
2000,-1.147906233965231,DEU,Germany,GRC,Greece,1
2000,-0.9663553904915645,DEU,Germany,GRC,Greece,3
2000,-2.7965633120540527,DEU,Germany,GRC,Greece,2
2001,-1.2352230489379767,DEU,Germany,GRC,Greece,2
2001,-0.6440233040479235,DEU,Germany,GRC,Greece,3
2001,-0.7986159538027016,DEU,Germany,GRC,Greece,1
2002,-0.9806944203130961,DEU,Germany,GRC,Greece,1
2003,-1.9369386912514819,DEU,Germany,GRC,Greece,3
2003,-3.2240870395501995,DEU,Germany,GRC,Greece,2
2003,-0.4997771040339565,DEU,Germany,GRC,Greece,1
2004,-0.9610782066143342,DEU,Germany,GRC,Greece,1
2004,1.6486598301459336,DEU,Germany,GRC,Greece,3
2005,-0.07291815293247161,DEU,Germany,GRC,Greece,3
2005,-0.5337218971106283,DEU,Germany,GRC,Greece,1
2005,-1.5599918259263328,DEU,Germany,GRC,Greece,2
2006,-1.0285197273662128,DEU,Germany,GRC,Greece,1
2006,-0.14286237199608998,DEU,Germany,GRC,Greece,3
2007,-1.263860576733725,DEU,Germany,GRC,Greece,3
2007,-1.4196318384960036,DEU,Germany,GRC,Greece,1
2007,-1.4010220272037248,DEU,Germany,GRC,Greece,2
2008,-1.2663672978914362,DEU,Germany,GRC,Greece,3
2008,-2.8732797733196227,DEU,Germany,GRC,Greece,2
2008,-0.718328440974763,DEU,Germany,GRC,Greece,1
2009,-0.08990041498097323,DEU,Germany,GRC,Greece,3
2009,-0.6280232565790653,DEU,Germany,GRC,Greece,1
2009,-0.4620599438171791,DEU,Germany,GRC,Greece,2
2010,-0.3468767154803851,DEU,Germany,GRC,Greece,2
2010,0.044889534873263415,DEU,Germany,GRC,Greece,3
2010,-0.1071008086968197,DEU,Germany,GRC,Greece,1
2011,0.31374314057682007,DEU,Germany,GRC,Greece,1
2011,-0.44632636489419664,DEU,Germany,GRC,Greece,2
2011,0.6460325896156425,DEU,Germany,GRC,Greece,3
2012,0.5425968981251001,DEU,Germany,GRC,Greece,3
2012,0.3133908929259608,DEU,Germany,GRC,Greece,1
2012,-0.4702731784620813,DEU,Germany,GRC,Greece,2
2013,0.034240591032213885,DEU,Germany,GRC,Greece,1
2013,-0.10424064712665171,DEU,Germany,GRC,Greece,2
2013,0.024605493849048976,DEU,Germany,GRC,Greece,3
2014,-0.18697730962631143,DEU,Germany,GRC,Greece,1
2014,-0.23269094514627153,DEU,Germany,GRC,Greece,3
2014,0.2925496825065501,DEU,Germany,GRC,Greece,2
2015,-0.4359770102186713,DEU,Germany,GRC,Greece,1
2015,0.11293001392927371,DEU,Germany,GRC,Greece,3
2015,-0.8855477867117592,DEU,Germany,GRC,Greece,2
2016,-1.441495368442749,DEU,Germany,GRC,Greece,3
2016,-1.1907262461621295,DEU,Germany,GRC,Greece,1
2016,-1.2898708567461499,DEU,Germany,GRC,Greece,2
2017,-0.1919366131191702,DEU,Germany,GRC,Greece,1
2017,-2.1675384491562077,DEU,Germany,GRC,Greece,2
2017,-0.43549593768112294,DEU,Germany,GRC,Greece,3
2018,-0.8686687999288663,DEU,Germany,GRC,Greece,3
2018,-2.087708803567204,DEU,Germany,GRC,Greece,2
2018,-0.43135163261773957,DEU,Germany,GRC,Greece,1
2019,-0.9243514513863824,DEU,Germany,GRC,Greece,2
2019,-0.4744381374876987,DEU,Germany,GRC,Greece,1
2019,-0.9399851350395236,DEU,Germany,GRC,Greece,3
2020,-0.6033650394332852,DEU,Germany,GRC,Greece,3
2020,-1.9454404105909804,DEU,Germany,GRC,Greece,2
2020,-0.8340054428005264,DEU,Germany,GRC,Greece,1
2021,-1.103796407908937,DEU,Germany,GRC,Greece,2
2021,-0.1452708275058232,DEU,Germany,GRC,Greece,1
2021,-0.15441299250333662,DEU,Germany,GRC,Greece,3
2022,0.5121390513695259,DEU,Germany,GRC,Greece,3
2022,0.40211547320029517,DEU,Germany,GRC,Greece,1
