,country,name,coefficient, tvalue,pvalue,tvalue
0,1,const,-0.47419915027242565,,0.00037969094099032176,-3.5565092891558274
1,1,right,1.392761576564948e-15,,0.01068855781053721,2.5537876411770295
2,1,center,-0.2482759331201027,,0.004548228562457677,-2.8388320745540465
3,1,left,0.4409054200021093,,3.084118861406772e-10,6.308747826353799
4,1,years_inoffice,0.028456085598869873,,0.0033177147495005183,2.938230099852201
5,1,change,0.14993070234335892,,0.21316922932344792,1.2450747301903966
6,1,election,0.13125223515179055,,0.1109429735755393,1.5942831882130053
7,1,partner_right,0.1206006161016836,,0.3685068506248035,0.8993643100787417
8,1,partner_center,0.15653894498255286,,0.2080377931924808,1.2591604971150268
9,1,partner_left,0.1787386010433683,,0.1607707812111654,1.4027155697094904
10,1,partner_years_inoffice,0.0051276133989519735,,0.1360284508521015,1.49101241604859
11,1,partner_change,-0.14132445805412075,,0.0003916882855113051,-3.5483014261934755
12,1,partner_election,0.04057357721643752,,0.601469718066522,0.5223251497658145
0,2,const,0.3164009117533742,,0.05692089759601233,1.9046508332003924
1,2,right,0.2103572017674474,,0.07491067836239454,1.7816294368711134
2,2,center,9.061575319123751e-16,,0.0002476691122933268,3.6690637412434155
3,2,left,0.1060437099859262,,0.24947159366028626,1.1518567779627549
4,2,years_inoffice,0.01857501095180693,,0.000422571402456823,3.5295149898609033
5,2,change,-0.18244488085204935,,0.013695533611095009,-2.466604177875021
6,2,election,-0.24523376121758197,,0.05189421090561812,-1.9447837869232398
7,2,partner_right,0.37722538172882314,,0.13582033469262897,1.4919382632348626
8,2,partner_center,0.5297556296890868,,0.025524243135290833,2.234488228106982
9,2,partner_left,0.4552852962673674,,0.061241013891275,1.8724531047186181
10,2,partner_years_inoffice,0.0036358626728764296,,0.5967867283648769,0.5290833414748374
11,2,partner_change,-0.10798203802805013,,0.12686999708818228,-1.52698508552979
12,2,partner_election,-0.02481361683500661,,0.8587807419362581,-0.17794172216358128
0,3,const,878927790729.6842,,0.341690546132838,0.9509360526140639
1,3,right,-1314270788.5461276,,0.3416905461325703,-0.9509360526145908
2,3,center,-878927790730.5183,,0.341690546132413,-0.9509360526149004
3,3,left,-878927790730.3508,,0.3416905461324593,-0.9509360526148093
4,3,years_inoffice,0.03708164785491967,,7.200023550661705e-08,5.395564697560895
5,3,change,0.292334528951446,,7.124876193098883e-05,3.9759736153595475
6,3,election,0.5272431259421346,,4.2688065350195565e-06,4.603800561604334
7,3,partner_right,0.22761176210272197,,0.19140256826136287,1.306647822641171
8,3,partner_center,0.286651199020546,,0.07440115958916232,1.7845746683799006
9,3,partner_left,0.405107973700143,,0.0144401356421013,2.4471223602476373
10,3,partner_years_inoffice,0.0020779226678783657,,0.6026130745436704,0.5206851314925518
11,3,partner_change,-0.0840323125725988,,0.08470579018335792,-1.7244115671370295
12,3,partner_election,0.0026370284974862037,,0.9779737395928894,0.02761094515885871
0,6,right,0.0,,,
1,6,center,-6.502120294070492e-16,,1.3816179208160496e-05,-4.352397222343003
2,6,left,-0.17193939213066578,,0.3360235462757566,-0.9621724630003987
3,6,years_inoffice,0.006029406653017989,,0.05893671096429136,1.8892267353634664
4,6,change,-0.2850924322106499,,0.3744704532962758,-0.8882341084741829
5,6,election,0.8309265736235857,,1.5447938733075277e-06,4.812897432832887
6,6,partner_right,0.5514472539494834,,0.003333066241240058,2.937062399778002
7,6,partner_center,0.5695554333744853,,0.0012534000729739988,3.2288388499299847
8,6,partner_left,0.6742232118239306,,0.000178042997250045,3.751966694519371
9,6,partner_years_inoffice,-0.007946260626305192,,0.08006302282617801,-1.750783579649962
10,6,partner_change,0.04273913917652902,,0.4186472797037325,0.8088573874990154
11,6,partner_election,0.02394701706866278,,0.8234471349299016,0.22312879256093995
0,9,const,-0.2080873678103973,,0.13459317177668498,-1.4965340874373463
1,9,right,-0.22884305355455023,,0.008951654009199561,-2.615171022402436
2,9,center,-0.26523114800390724,,0.00012679244729402086,-3.8363561235647023
3,9,left,0.28598683374806366,,2.8373696967099473e-06,4.688949432473286
4,9,years_inoffice,-0.06367511361163725,,0.000720689698724284,-3.384206330409161
5,9,change,0.7212640189405088,,3.9668771442967325e-35,12.486058807622253
6,9,election,-0.24243285702995643,,0.006999789338501238,-2.6982448815895195
7,9,partner_right,0.1298526810656996,,0.46780394436610595,0.726125892174873
8,9,partner_center,0.31226565208226037,,0.0689619502968591,1.8191571285505637
9,9,partner_left,0.27697428495056875,,0.11610864429970347,1.571658336405437
10,9,partner_years_inoffice,0.014883148577196784,,0.00044001184453776765,3.517770618670451
11,9,partner_change,-0.029666608986503445,,0.5046091453985818,-0.6673152678803725
12,9,partner_election,0.20340045074385651,,0.02155351286506766,2.2990450866095
0,10,const,-0.37883911819062643,,0.05045653311966615,-1.9568958662837215
1,10,right,2.27538682569776e-16,,0.04753672456773005,1.9823373064391239
2,10,center,0.6746510193579731,,0.00016730361665642752,3.7688488814399617
3,10,left,1.9184836770482192e-16,,0.1887288024763154,1.3146612967594575
4,10,years_inoffice,0.05845422832202461,,0.0010264348081936497,3.2865508731574957
5,10,change,-1.1410113105319909e-16,,0.0006514740532173132,-3.4129786747035817
6,10,election,0.7348074063764745,,2.0982742429018104e-06,4.753450521158731
7,10,partner_right,0.09454999271925071,,0.6378456449914709,0.47076316847739363
8,10,partner_center,0.09996717036501648,,0.5973561013547859,0.528265233931138
9,10,partner_left,0.19997013178312428,,0.3064206445504662,1.0229437754042876
10,10,partner_years_inoffice,-0.001028593809781749,,0.8629247439927833,-0.172667782989867
11,10,partner_change,-0.13665151745435924,,0.023409921126746013,-2.267890219725909
12,10,partner_election,-0.09536402237002092,,0.42909450678935235,-0.7908540578706327
0,12,const,1087828473861.3684,,0.19412555376925789,1.2986415347764515
1,12,right,-1087828473860.692,,0.19412555376952564,-1.2986415347756715
2,12,center,-8319374156.653967,,0.19412555376935897,-1.2986415347761568
3,12,left,-1087828473861.3124,,0.1941255537692961,-1.29864153477634
4,12,years_inoffice,-0.06940550340464001,,1.5439946308787994e-10,-6.4141255055719695
5,12,change,-0.22316055175896735,,4.2300868901136205e-17,-8.435888968440635
6,12,election,-0.2029266566928456,,0.002062054864408896,-3.082727955953676
7,12,partner_right,0.3074042457550604,,0.014401451764528495,2.447927470684581
8,12,partner_center,0.19305131404370385,,0.10202403025262902,1.6354131642595797
