,country,type,value
0,1,R-Squared,0.02187438101294581
1,1,Adjusted R-Squared,0.019479149087554548
0,2,R-Squared,0.018999023102044044
1,2,Adjusted R-Squared,0.015733374044460957
0,3,R-Squared,0.021800901711992227
1,3,Adjusted R-Squared,0.019514855677199017
0,6,R-Squared,0.011439091500721532
1,6,Adjusted R-Squared,0.009122755084034817
0,9,R-Squared,0.0679474792062933
1,9,Adjusted R-Squared,0.06539263800800499
0,10,R-Squared,0.030485370767199926
1,10,Adjusted R-Squared,0.02744508098911802
0,12,R-Squared,0.0514176288738033
1,12,Adjusted R-Squared,0.049562029556263765
0,13,R-Squared,0.029386863072893954
1,13,Adjusted R-Squared,0.027156081328634896
0,14,R-Squared,0.13490571214350255
1,14,Adjusted R-Squared,0.13222463480510438
0,15,R-Squared,0.03616749986641332
1,15,Adjusted R-Squared,0.031393688573032486
0,16,R-Squared,0.007448298496160355
1,16,Adjusted R-Squared,0.004644480130330364
0,17,R-Squared,0.018745413392097787
1,17,Adjusted R-Squared,0.01568058907161496
0,18,R-Squared,0.03209679725560366
1,18,Adjusted R-Squared,0.026389820824327725
0,19,R-Squared,0.12441256858601535
1,19,Adjusted R-Squared,0.12127201108453045
0,20,R-Squared,0.029582329501026905
1,20,Adjusted R-Squared,0.027458454774507035
0,21,R-Squared,0.03983413139963565
1,21,Adjusted R-Squared,0.03572305013540955
0,22,R-Squared,0.041998904878031595
1,22,Adjusted R-Squared,0.03830955534611136
0,24,R-Squared,0.027549981983965743
1,24,Adjusted R-Squared,0.02208677963556116
0,25,R-Squared,0.03399657894879393
1,25,Adjusted R-Squared,0.03020968029178628
0,27,R-Squared,0.026780181993769303
1,27,Adjusted R-Squared,0.023816436830446097
0,28,R-Squared,0.040286743396710345
1,28,Adjusted R-Squared,0.03792977848877643
0,30,R-Squared,0.07166875893377633
1,30,Adjusted R-Squared,0.06825218759441587
0,31,R-Squared,0.011700925713117316
1,31,Adjusted R-Squared,0.009037046806683713
0,32,R-Squared,0.026775237052278245
1,32,Adjusted R-Squared,0.021949329136834894
0,33,R-Squared,0.01495201360151499
1,33,Adjusted R-Squared,0.011558222089375514
0,34,R-Squared,0.03458175891429249
1,34,Adjusted R-Squared,0.031715315205605665
0,35,R-Squared,0.02036915804631456
1,35,Adjusted R-Squared,0.017479391550876078
0,36,R-Squared,0.010074400707408282
1,36,Adjusted R-Squared,0.008294279147810002
0,37,R-Squared,0.03315062319845152
1,37,Adjusted R-Squared,0.0275511094331915
0,39,R-Squared,0.030047680666648646
1,39,Adjusted R-Squared,0.025155669885966958
0,40,R-Squared,0.0090803756811898
1,40,Adjusted R-Squared,0.006343028652684879
0,41,R-Squared,0.06253404963168818
1,41,Adjusted R-Squared,0.05944943449474838
0,42,R-Squared,0.010300102546426992
1,42,Adjusted R-Squared,0.009078627819548268
0,43,R-Squared,0.0331235653845795
1,43,Adjusted R-Squared,0.02644969870906322
0,44,R-Squared,0.026246945600909566
1,44,Adjusted R-Squared,0.023578397904556958
0,45,R-Squared,0.020214856366625122
1,45,Adjusted R-Squared,0.014276764587028867
0,46,R-Squared,0.01934891900323965
1,46,Adjusted R-Squared,0.01672246816695777
0,48,R-Squared,0.08763412636249734
1,48,Adjusted R-Squared,0.08402365594841943
0,49,R-Squared,0.04696263566900438
1,49,Adjusted R-Squared,0.043255521123794716
0,50,R-Squared,0.01695301648445291
1,50,Adjusted R-Squared,0.015348696641914295
0,51,R-Squared,0.04457295682084317
1,51,Adjusted R-Squared,0.04134218600160833
0,52,R-Squared,0.008366455440915188
1,52,Adjusted R-Squared,0.005651679684282596
0,53,R-Squared,0.010511084441718666
1,53,Adjusted R-Squared,0.00814784365939647
0,54,R-Squared,0.03595677441654643
1,54,Adjusted R-Squared,0.032725795864109286
0,56,R-Squared,0.06242322786101406
1,56,Adjusted R-Squared,0.058208538652379516
0,57,R-Squared,0.02882727052142764
1,57,Adjusted R-Squared,0.027130157844313385
