,country,type,value
0,1,R-Squared,0.032794256011648204
1,1,Adjusted R-Squared,0.023469748400892887
0,2,R-Squared,0.04175826591709264
1,2,Adjusted R-Squared,0.02843084263360307
0,3,R-Squared,0.052486027214211695
1,3,Adjusted R-Squared,0.043547216150194745
0,6,R-Squared,0.02450289840062958
1,6,Adjusted R-Squared,0.014593785630432898
0,9,R-Squared,0.07072031837834425
1,9,Adjusted R-Squared,0.05965746502570557
0,10,R-Squared,0.029902514784060585
1,10,Adjusted R-Squared,0.021571524930106833
0,12,R-Squared,0.029258793056828547
1,12,Adjusted R-Squared,0.023118747472115286
0,13,R-Squared,0.02108365355651154
1,13,Adjusted R-Squared,0.012397616764643793
0,14,R-Squared,0.20740409912873614
1,14,Adjusted R-Squared,0.20195878377923882
0,15,R-Squared,0.09681239835618827
1,15,Adjusted R-Squared,0.03275654008357742
0,16,R-Squared,0.04691720242460695
1,16,Adjusted R-Squared,0.03416693088513678
0,17,R-Squared,0.04276671213100003
1,17,Adjusted R-Squared,0.030441820012515053
0,18,R-Squared,0.14850022547636332
1,18,Adjusted R-Squared,0.10011955646933846
0,19,R-Squared,0.16780603731815136
1,19,Adjusted R-Squared,0.15794591927689727
0,20,R-Squared,0.030410506619257593
1,20,Adjusted R-Squared,0.02275951348641103
0,21,R-Squared,0.09330115638369862
1,21,Adjusted R-Squared,0.06318938666950413
0,22,R-Squared,0.06608196710410086
1,22,Adjusted R-Squared,0.028890541015326177
0,24,R-Squared,0.11145924445451327
1,24,Adjusted R-Squared,0.07424287773009497
0,25,R-Squared,0.018291251036615885
1,25,Adjusted R-Squared,-0.007667393767704311
0,27,R-Squared,0.033669362928855695
1,27,Adjusted R-Squared,0.006158170414374831
0,28,R-Squared,0.013541381954785381
1,28,Adjusted R-Squared,0.004491302890150428
0,30,R-Squared,0.09909804394962252
1,30,Adjusted R-Squared,0.07599799379448469
0,31,R-Squared,0.10488919091132864
1,31,Adjusted R-Squared,0.0967180548947516
0,32,R-Squared,0.10533181707399342
1,32,Adjusted R-Squared,0.0637193434495279
0,33,R-Squared,0.03969909984481701
1,33,Adjusted R-Squared,0.018476980504371077
0,34,R-Squared,0.0736435232335445
1,34,Adjusted R-Squared,0.060020633869331985
