"year","tone","country_iso","country_name","partner_iso","partner_name"
1979,0.5272915400552725,IND,India,PAK,Pakistan
1980,0.9514487325308059,IND,India,PAK,Pakistan
1981,0.3984821821427422,IND,India,PAK,Pakistan
1982,0.9403054704440716,IND,India,PAK,Pakistan
1983,1.6378429342628706,IND,India,PAK,Pakistan
1984,-0.0337926241893145,IND,India,PAK,Pakistan
1985,0.7442757145417644,IND,India,PAK,Pakistan
1986,0.10161759849784957,IND,India,PAK,Pakistan
1987,-0.19334909725949512,IND,India,PAK,Pakistan
1988,-0.3460961340458937,IND,India,PAK,Pakistan
1989,-0.8238250353914687,IND,India,PAK,Pakistan
1990,-0.16912669632960498,IND,India,PAK,Pakistan
1991,-1.0533448119605637,IND,India,PAK,Pakistan
1992,-0.6592886811770082,IND,India,PAK,Pakistan
1993,-0.9013166446332876,IND,India,PAK,Pakistan
1994,-0.7494072965249288,IND,India,PAK,Pakistan
1995,-0.252702802208856,IND,India,PAK,Pakistan
1996,-0.4565587888513516,IND,India,PAK,Pakistan
1997,-0.023588465100952583,IND,India,PAK,Pakistan
1998,-0.7476442023878374,IND,India,PAK,Pakistan
1999,-0.8457762717249526,IND,India,PAK,Pakistan
2000,-0.42788123573168235,IND,India,PAK,Pakistan
2001,0.05412884855802247,IND,India,PAK,Pakistan
2002,-0.9048204228003911,IND,India,PAK,Pakistan
2003,-0.13543255706352308,IND,India,PAK,Pakistan
2004,0.26381254334658255,IND,India,PAK,Pakistan
2005,0.0417503244874915,IND,India,PAK,Pakistan
2006,-0.3735515861177534,IND,India,PAK,Pakistan
2007,-0.15028160865928264,IND,India,PAK,Pakistan
2008,-0.5736139369452129,IND,India,PAK,Pakistan
2009,-0.8078354828215764,IND,India,PAK,Pakistan
2010,-0.6564798552403612,IND,India,PAK,Pakistan
2011,-0.23981880624240137,IND,India,PAK,Pakistan
2012,-0.4823329210546472,IND,India,PAK,Pakistan
2013,-0.4417595650811448,IND,India,PAK,Pakistan
2014,-0.15015658873525606,IND,India,PAK,Pakistan
2015,-1.2678506604319215,IND,India,PAK,Pakistan
2016,-1.7369972620989866,IND,India,PAK,Pakistan
2017,-2.0088204198036865,IND,India,PAK,Pakistan
2018,-1.5808396631015948,IND,India,PAK,Pakistan
2019,-1.7158395827757587,IND,India,PAK,Pakistan
2020,-1.8999240942993612,IND,India,PAK,Pakistan
2021,-1.351345387044313,IND,India,PAK,Pakistan
2022,-0.9446229340833279,IND,India,PAK,Pakistan
