Min,Max,Year
0,23.52941176,1979
0,25,1980
0,20.40816327,1981
0,21.05263158,1982
0,24,1983
0,23.68421053,1984
0,33.33333333,1985
0,29.14798206,1986
0,28.26086957,1987
0,24,1988
0,28.57142857,1989
0,25,1990
0,28.57142857,1991
0,24.32432432,1992
0,28.57142857,1993
0,30,1994
0,25,1995
0,25.71428571,1996
0,24.21024285,1997
0,28.57142857,1998
0,23.07692308,1999
0,25.35211268,2000
0,25,2001
0,25.71428571,2002
0,24.05063291,2003
0,26,2004
-16.84210526,25.97402597,2005
-13.03155007,27,2006
-24.28571429,26,2007
-13.35616438,26.25,2008
-13.34214003,27.14285714,2009
-11.61290323,34.5703125,2010
-15.82278481,30.18867925,2011
-19.56521739,41.66666667,2012
0,80.22151899,2013
-22.12389381,23.52941176,2014
-34.28571429,24.87205732,2015
-77.87803423,29.8811545,2016
-29.88505747,24.35897436,2017
-40.39087948,28.75,2018
-51.44596651,33.33333333,2019
-37.93103448,27.94117647,2020
-40.74074074,34.375,2021
-37.93103448,24.13793103,2022
