,country,type,value
0,1,R-Squared,0.017232428735351024
1,1,Adjusted R-Squared,0.01259474392886839
0,2,R-Squared,0.013133933378582374
1,2,Adjusted R-Squared,0.0034777096347329284
0,3,R-Squared,0.02367422589312873
1,3,Adjusted R-Squared,0.01843642667581724
0,6,R-Squared,0.03578239823616125
1,6,Adjusted R-Squared,0.03073413854106266
0,9,R-Squared,0.05311990851112136
1,9,Adjusted R-Squared,0.04717827644815631
0,10,R-Squared,0.040670898252575305
1,10,Adjusted R-Squared,0.03435952258318442
0,12,R-Squared,0.03195247820508074
1,12,Adjusted R-Squared,0.028419458052544644
0,13,R-Squared,0.025193433224471096
1,13,Adjusted R-Squared,0.02021993033275926
0,14,R-Squared,0.19933608218400656
1,14,Adjusted R-Squared,0.1947462890245517
0,15,R-Squared,0.04053667421594653
1,15,Adjusted R-Squared,0.026426919425004636
0,16,R-Squared,0.02396873599953131
1,16,Adjusted R-Squared,0.016946928344851675
0,17,R-Squared,0.03444575536202521
1,17,Adjusted R-Squared,0.027436287161386463
0,18,R-Squared,0.08251176922732428
1,18,Adjusted R-Squared,0.0635944861186094
0,19,R-Squared,0.07968933392826139
1,19,Adjusted R-Squared,0.07259911308025113
0,20,R-Squared,0.017578267075279208
1,20,Adjusted R-Squared,0.013288215839800221
0,21,R-Squared,0.03320647809990418
1,21,Adjusted R-Squared,0.017613034198289745
0,22,R-Squared,0.020512222865712526
1,22,Adjusted R-Squared,0.009181387397578011
0,24,R-Squared,0.05538797156186426
1,24,Adjusted R-Squared,0.039644437754562056
0,25,R-Squared,0.05326203402076968
1,25,Adjusted R-Squared,0.04327726160871648
0,27,R-Squared,0.026063679471361678
1,27,Adjusted R-Squared,0.016642288220782286
0,28,R-Squared,0.041860879123066796
1,28,Adjusted R-Squared,0.03698598072822579
0,30,R-Squared,0.0688381850863119
1,30,Adjusted R-Squared,0.06006546273853819
0,31,R-Squared,0.021974079501692056
1,31,Adjusted R-Squared,0.015418147066907695
0,32,R-Squared,0.05040574167712497
1,32,Adjusted R-Squared,0.037869843877483156
0,33,R-Squared,0.023954593148354686
1,33,Adjusted R-Squared,0.015326567452428552
0,34,R-Squared,0.02918008690511742
1,34,Adjusted R-Squared,0.02116340719335119
0,35,R-Squared,0.019471053530964455
1,35,Adjusted R-Squared,0.011515443417625337
0,36,R-Squared,0.009794010997964842
1,36,Adjusted R-Squared,0.006408691377445042
0,37,R-Squared,0.0750332297584495
1,37,Adjusted R-Squared,0.05390454718948012
0,39,R-Squared,0.056356867353088425
1,39,Adjusted R-Squared,0.044520978574164816
0,40,R-Squared,0.007315824959904016
1,40,Adjusted R-Squared,0.0008010805790009679
0,41,R-Squared,0.040901753554180686
1,41,Adjusted R-Squared,0.033672369787001055
0,42,R-Squared,0.02951913048169741
1,42,Adjusted R-Squared,0.02752635662231695
0,43,R-Squared,0.021619800873979522
1,43,Adjusted R-Squared,0.011071227298496855
0,44,R-Squared,0.02637283569354454
1,44,Adjusted R-Squared,0.02048633530475097
0,45,R-Squared,0.07330699029890264
1,45,Adjusted R-Squared,0.0535901177520709
0,46,R-Squared,0.02424136874447258
1,46,Adjusted R-Squared,0.017720007800408943
0,48,R-Squared,0.06701478613878076
1,48,Adjusted R-Squared,0.056339898108331954
0,49,R-Squared,0.028996402852014436
1,49,Adjusted R-Squared,0.019756083132921876
0,50,R-Squared,0.014359136120976723
1,50,Adjusted R-Squared,0.010778242882542477
0,51,R-Squared,0.04253387992111379
1,51,Adjusted R-Squared,0.03363098277752319
0,52,R-Squared,0.012836919988312046
1,52,Adjusted R-Squared,0.006538315649490478
0,53,R-Squared,0.025275177630893153
1,53,Adjusted R-Squared,0.020071094222622432
0,54,R-Squared,0.03603729750524143
1,54,Adjusted R-Squared,0.027859459095953998
0,56,R-Squared,0.039251064215603204
1,56,Adjusted R-Squared,0.027482424690404628
0,57,R-Squared,0.015117254989554407
1,57,Adjusted R-Squared,0.010177404230881204
0,58,R-Squared,0.030310448034132298
1,58,Adjusted R-Squared,0.022809333356477834
0,59,R-Squared,0.04786346270848707
1,59,Adjusted R-Squared,0.037514152520535804
0,60,R-Squared,0.03244615294520159
