"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
1979,0.2505899419068909,NLD,Netherlands,RUS,Russia,1
1979,1.3737227346657983,NLD,Netherlands,RUS,Russia,2
1980,-1.4971566058716532,NLD,Netherlands,RUS,Russia,1
1981,0.5809780843114822,NLD,Netherlands,RUS,Russia,2
1981,-0.1995631542678824,NLD,Netherlands,RUS,Russia,1
1982,-0.21928962355970238,NLD,Netherlands,RUS,Russia,1
1983,-0.4489111400339283,NLD,Netherlands,RUS,Russia,2
1983,-0.03226435249125359,NLD,Netherlands,RUS,Russia,1
1984,-0.4088062295341359,NLD,Netherlands,RUS,Russia,1
1985,-0.3610163013942511,NLD,Netherlands,RUS,Russia,1
1985,-0.9354329659964211,NLD,Netherlands,RUS,Russia,3
1985,-0.6739557304175712,NLD,Netherlands,RUS,Russia,2
1986,-1.4675379053442033,NLD,Netherlands,RUS,Russia,1
1986,-3.075428509513439,NLD,Netherlands,RUS,Russia,2
1987,-1.3120522606777523,NLD,Netherlands,RUS,Russia,2
1987,-1.2275365358512187,NLD,Netherlands,RUS,Russia,1
1988,-0.12965269735846796,NLD,Netherlands,RUS,Russia,1
1988,0.3611584848268867,NLD,Netherlands,RUS,Russia,2
1989,-0.13637222356950307,NLD,Netherlands,RUS,Russia,1
1990,-0.04897182834450042,NLD,Netherlands,RUS,Russia,1
1991,-0.4933304027181844,NLD,Netherlands,RUS,Russia,1
1992,-2.8356305922117784,NLD,Netherlands,RUS,Russia,1
1993,-0.015273842812322691,NLD,Netherlands,RUS,Russia,1
1994,0.7664424726273698,NLD,Netherlands,RUS,Russia,1
1995,0.09095385600008221,NLD,Netherlands,RUS,Russia,1
1995,0.1464171381592303,NLD,Netherlands,RUS,Russia,3
1995,0.6908119984507639,NLD,Netherlands,RUS,Russia,2
1996,-0.6996832516837443,NLD,Netherlands,RUS,Russia,2
1996,-0.27433542377952325,NLD,Netherlands,RUS,Russia,1
1996,0.8474171454809998,NLD,Netherlands,RUS,Russia,3
1997,-0.9334782551772802,NLD,Netherlands,RUS,Russia,2
1997,-0.2404876452419975,NLD,Netherlands,RUS,Russia,1
1997,0.26263988052889253,NLD,Netherlands,RUS,Russia,3
1998,1.4117481048035865,NLD,Netherlands,RUS,Russia,3
1998,0.19470051347682293,NLD,Netherlands,RUS,Russia,1
1999,1.3253898969610614,NLD,Netherlands,RUS,Russia,2
1999,-0.4367653959391413,NLD,Netherlands,RUS,Russia,1
1999,0.14126336418296326,NLD,Netherlands,RUS,Russia,3
2000,-0.9421602490640817,NLD,Netherlands,RUS,Russia,1
2000,-0.07834692327758663,NLD,Netherlands,RUS,Russia,2
2000,-0.9398299587947694,NLD,Netherlands,RUS,Russia,3
2001,-1.0924499545009825,NLD,Netherlands,RUS,Russia,3
2001,-1.001705898362327,NLD,Netherlands,RUS,Russia,1
