"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
1979,0.46169558985768333,IRN,Iran,USA,United States of America,2
1979,0.6968701311832914,IRN,Iran,USA,United States of America,1
1980,1.0168922824104616,IRN,Iran,USA,United States of America,3
1980,0.3673483824580277,IRN,Iran,USA,United States of America,2
1980,0.7384977407974889,IRN,Iran,USA,United States of America,1
1981,1.2056441689645556,IRN,Iran,USA,United States of America,2
1981,0.6766213782203137,IRN,Iran,USA,United States of America,3
1981,0.8359920627032666,IRN,Iran,USA,United States of America,1
1982,-0.9442494959441627,IRN,Iran,USA,United States of America,3
1982,0.419591332670338,IRN,Iran,USA,United States of America,1
1982,0.09966091435498026,IRN,Iran,USA,United States of America,2
1983,-1.5013558471115727,IRN,Iran,USA,United States of America,2
1983,0.4549346239635206,IRN,Iran,USA,United States of America,1
1984,0.13573420138051961,IRN,Iran,USA,United States of America,2
1984,-0.07012518484565167,IRN,Iran,USA,United States of America,1
1985,0.40509564958138,IRN,Iran,USA,United States of America,1
1985,0.7783803148749593,IRN,Iran,USA,United States of America,2
1986,0.5845890495005772,IRN,Iran,USA,United States of America,3
1986,1.0422076602293062,IRN,Iran,USA,United States of America,1
1986,1.4390136944215453,IRN,Iran,USA,United States of America,2
1987,-0.2687623848985652,IRN,Iran,USA,United States of America,2
1987,0.4142605018851375,IRN,Iran,USA,United States of America,1
1987,-0.3378054832243773,IRN,Iran,USA,United States of America,3
1988,0.7846601897034127,IRN,Iran,USA,United States of America,2
1988,0.5352116117546419,IRN,Iran,USA,United States of America,1
1988,-0.5253008445790401,IRN,Iran,USA,United States of America,3
1989,0.1786188870287475,IRN,Iran,USA,United States of America,2
1989,1.17389426924698,IRN,Iran,USA,United States of America,1
1989,1.291926893983801,IRN,Iran,USA,United States of America,3
1990,2.484410314045003,IRN,Iran,USA,United States of America,2
1990,1.4775320886542476,IRN,Iran,USA,United States of America,1
1990,1.105959926612714,IRN,Iran,USA,United States of America,3
1991,0.7823935390791643,IRN,Iran,USA,United States of America,3
1991,1.0038177174984932,IRN,Iran,USA,United States of America,1
1991,4.146726713505316,IRN,Iran,USA,United States of America,2
1992,3.4418510603407366,IRN,Iran,USA,United States of America,2
1992,0.7026962604379863,IRN,Iran,USA,United States of America,1
1993,-0.2826234351314536,IRN,Iran,USA,United States of America,3
1993,0.10045313018743318,IRN,Iran,USA,United States of America,2
1993,0.31554722727174767,IRN,Iran,USA,United States of America,1
1994,0.21347228038446708,IRN,Iran,USA,United States of America,3
1994,0.10339163632467763,IRN,Iran,USA,United States of America,1
1995,0.9571416580366696,IRN,Iran,USA,United States of America,2
1995,-0.1245915280006864,IRN,Iran,USA,United States of America,3
