"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
1979,0.5119313626448232,IRQ,Iraq,USA,United States of America,2
1979,0.3420082652893708,IRQ,Iraq,USA,United States of America,1
1980,2.045411925784526,IRQ,Iraq,USA,United States of America,3
1980,-0.021056146444221824,IRQ,Iraq,USA,United States of America,1
1980,-1.431147056066179,IRQ,Iraq,USA,United States of America,2
1981,1.2629840376858503,IRQ,Iraq,USA,United States of America,2
1981,1.1297735754029734,IRQ,Iraq,USA,United States of America,3
1981,0.6632435921286559,IRQ,Iraq,USA,United States of America,1
1982,0.5393430657657392,IRQ,Iraq,USA,United States of America,1
1983,0.9219453940859168,IRQ,Iraq,USA,United States of America,1
1983,-0.6573031104133156,IRQ,Iraq,USA,United States of America,2
1983,0.6868139834905778,IRQ,Iraq,USA,United States of America,3
1984,-2.34287427569906,IRQ,Iraq,USA,United States of America,3
1984,0.3660077712141252,IRQ,Iraq,USA,United States of America,1
1984,0.15412613491409477,IRQ,Iraq,USA,United States of America,2
1985,-0.9734739902830087,IRQ,Iraq,USA,United States of America,2
1985,0.20035515963505013,IRQ,Iraq,USA,United States of America,1
1986,0.4668882356976507,IRQ,Iraq,USA,United States of America,1
1986,1.852600742474526,IRQ,Iraq,USA,United States of America,2
1987,-0.008642889273946075,IRQ,Iraq,USA,United States of America,2
1987,0.06412039786804691,IRQ,Iraq,USA,United States of America,1
1987,-1.072357838494094,IRQ,Iraq,USA,United States of America,3
1988,0.4127745356647221,IRQ,Iraq,USA,United States of America,2
1988,0.3190085266696734,IRQ,Iraq,USA,United States of America,1
1988,0.10570080211792998,IRQ,Iraq,USA,United States of America,3
1989,-1.4791843613817774,IRQ,Iraq,USA,United States of America,2
1989,0.7306337600609973,IRQ,Iraq,USA,United States of America,1
1990,-0.03781391671530798,IRQ,Iraq,USA,United States of America,2
1990,0.5532952764311467,IRQ,Iraq,USA,United States of America,1
1990,-0.24893325762508578,IRQ,Iraq,USA,United States of America,3
1991,-0.5336503305953286,IRQ,Iraq,USA,United States of America,3
1991,0.2094839178551835,IRQ,Iraq,USA,United States of America,1
1991,-0.6098407749746091,IRQ,Iraq,USA,United States of America,2
1992,-0.125840136211532,IRQ,Iraq,USA,United States of America,2
1992,1.1534664813098736,IRQ,Iraq,USA,United States of America,3
1992,0.31903885133353516,IRQ,Iraq,USA,United States of America,1
1993,-0.16480430805211466,IRQ,Iraq,USA,United States of America,3
1993,-0.2830958477613086,IRQ,Iraq,USA,United States of America,2
1993,0.1348835926920433,IRQ,Iraq,USA,United States of America,1
1994,0.14891883709753184,IRQ,Iraq,USA,United States of America,1
1994,0.4208912256352395,IRQ,Iraq,USA,United States of America,3
1994,1.4700407740226726,IRQ,Iraq,USA,United States of America,2
1995,0.2770344841528498,IRQ,Iraq,USA,United States of America,1
1995,0.1501402397593541,IRQ,Iraq,USA,United States of America,3
1995,-0.5059003348435676,IRQ,Iraq,USA,United States of America,2
1996,0.08751425985950512,IRQ,Iraq,USA,United States of America,3
1996,0.02046237626273495,IRQ,Iraq,USA,United States of America,2
1996,0.3472617746927398,IRQ,Iraq,USA,United States of America,1
1997,0.3133135466392494,IRQ,Iraq,USA,United States of America,2
1997,-0.24394611912904018,IRQ,Iraq,USA,United States of America,3
1997,0.1371036770484384,IRQ,Iraq,USA,United States of America,1
1998,0.39736569193275884,IRQ,Iraq,USA,United States of America,1
1998,0.5820397283682137,IRQ,Iraq,USA,United States of America,2
1998,0.32903957420182106,IRQ,Iraq,USA,United States of America,3
1999,0.30571732754086334,IRQ,Iraq,USA,United States of America,2
1999,0.0021376019315484385,IRQ,Iraq,USA,United States of America,1
1999,0.15343678481576895,IRQ,Iraq,USA,United States of America,3
2000,0.3181295409869378,IRQ,Iraq,USA,United States of America,2
2000,-0.03607786909039756,IRQ,Iraq,USA,United States of America,1
2000,0.061995013742969896,IRQ,Iraq,USA,United States of America,3
2001,-0.21687346630960302,IRQ,Iraq,USA,United States of America,3
2001,-0.22686024375742608,IRQ,Iraq,USA,United States of America,2
2001,-0.08087201172519531,IRQ,Iraq,USA,United States of America,1
2002,0.4621352630807838,IRQ,Iraq,USA,United States of America,3
2002,0.3553505993981796,IRQ,Iraq,USA,United States of America,1
2002,-0.3235327708983746,IRQ,Iraq,USA,United States of America,2
2003,-0.18448900137130853,IRQ,Iraq,USA,United States of America,3
2003,-0.6331047815679387,IRQ,Iraq,USA,United States of America,2
2003,-0.1461607389343227,IRQ,Iraq,USA,United States of America,1
2004,-0.42587340697158105,IRQ,Iraq,USA,United States of America,3
2004,-0.3454705779857088,IRQ,Iraq,USA,United States of America,2
2004,-0.5524797630664171,IRQ,Iraq,USA,United States of America,1
2005,-0.677503894295965,IRQ,Iraq,USA,United States of America,1
2005,-0.38813287021286147,IRQ,Iraq,USA,United States of America,3
2005,-0.7738008949431867,IRQ,Iraq,USA,United States of America,2
2006,-0.4174644734730748,IRQ,Iraq,USA,United States of America,2
2006,-0.4319535848903806,IRQ,Iraq,USA,United States of America,3
2006,-0.44955910582385883,IRQ,Iraq,USA,United States of America,1
2007,-0.6245900364978807,IRQ,Iraq,USA,United States of America,1
2007,-0.713577576776018,IRQ,Iraq,USA,United States of America,2
2007,-0.7369052216647667,IRQ,Iraq,USA,United States of America,3
2008,-0.30902156768419786,IRQ,Iraq,USA,United States of America,2
2008,-0.39135838531502465,IRQ,Iraq,USA,United States of America,1
2008,-0.435710744279012,IRQ,Iraq,USA,United States of America,3
2009,-0.6077357676905617,IRQ,Iraq,USA,United States of America,2
2009,-0.6844788775174129,IRQ,Iraq,USA,United States of America,1
2009,-0.945727027583434,IRQ,Iraq,USA,United States of America,3
2010,-0.6449767938826652,IRQ,Iraq,USA,United States of America,3
2010,-0.41334473520542137,IRQ,Iraq,USA,United States of America,2
2010,-0.5818137384815731,IRQ,Iraq,USA,United States of America,1
2011,-0.8038910085567448,IRQ,Iraq,USA,United States of America,3
2011,-0.8489806840711056,IRQ,Iraq,USA,United States of America,2
2011,-0.606252314457751,IRQ,Iraq,USA,United States of America,1
2012,-0.2556026091615431,IRQ,Iraq,USA,United States of America,1
2012,-0.4248037240523592,IRQ,Iraq,USA,United States of America,3
2012,-0.6325365537441545,IRQ,Iraq,USA,United States of America,2
2013,-0.28598386868553627,IRQ,Iraq,USA,United States of America,3
2013,-0.5463425208525414,IRQ,Iraq,USA,United States of America,2
2013,-0.17653843397059177,IRQ,Iraq,USA,United States of America,1
2014,-0.3299537329152651,IRQ,Iraq,USA,United States of America,2
2014,-0.2430427723163735,IRQ,Iraq,USA,United States of America,1
2014,-0.1411031789505599,IRQ,Iraq,USA,United States of America,3
2015,-0.6433253875838214,IRQ,Iraq,USA,United States of America,3
2015,-0.9591327718756231,IRQ,Iraq,USA,United States of America,1
2015,-1.2919900795857915,IRQ,Iraq,USA,United States of America,2
2016,-1.052523074870309,IRQ,Iraq,USA,United States of America,1
2016,-0.684546278388154,IRQ,Iraq,USA,United States of America,3
2016,-0.9629221503537575,IRQ,Iraq,USA,United States of America,2
2017,-0.9415375187919011,IRQ,Iraq,USA,United States of America,2
2017,-1.259983197705019,IRQ,Iraq,USA,United States of America,1
2017,-1.04202932810743,IRQ,Iraq,USA,United States of America,3
2018,-1.8545994075520513,IRQ,Iraq,USA,United States of America,2
2018,-0.8258701886532809,IRQ,Iraq,USA,United States of America,1
2018,-0.5093859632131794,IRQ,Iraq,USA,United States of America,3
2019,-1.4272650863461678,IRQ,Iraq,USA,United States of America,3
2019,-1.5511392179115062,IRQ,Iraq,USA,United States of America,1
2019,-3.0750485522802267,IRQ,Iraq,USA,United States of America,2
2020,-1.571938649650249,IRQ,Iraq,USA,United States of America,3
2020,-2.361299030012009,IRQ,Iraq,USA,United States of America,2
2020,-1.7314065935106915,IRQ,Iraq,USA,United States of America,1
2021,-1.2640447329107263,IRQ,Iraq,USA,United States of America,1
2021,-1.1344841829308927,IRQ,Iraq,USA,United States of America,3
2021,-1.724731668278671,IRQ,Iraq,USA,United States of America,2
2022,-1.856478337295023,IRQ,Iraq,USA,United States of America,3
