"year","gov_period","tone","right","center","left","years_inoffice","change","election","partner_right","partner_center","partner_left","partner_years_inoffice","partner_change","partner_election"
1979,USA03,1.1190745580807668,0,0,1,3,2.0,0,0,0,1,15,0.0,0
1979,USA03,0.9049873412069243,0,0,1,3,2.0,0,0,0,1,4,1.0,0
1979,USA03,0.7850430675107924,0,0,1,3,2.0,0,0,1,0,1,1.0,1
1979,USA03,0.24520886322265056,0,0,1,3,2.0,0,0,1,0,2,0.0,0
1979,USA03,-0.5722322947948157,0,0,1,3,2.0,0,0,0,1,2,0.0,0
1979,USA03,1.7452343003604156,0,0,1,3,2.0,0,0,0,1,3,0.0,0
1979,USA03,-0.2991123547602754,0,0,1,3,2.0,0,1,0,0,2,2.0,0
1979,USA03,0.5806690636651188,0,0,1,3,2.0,0,0,1,0,12,0.0,0
1979,USA03,0.6968701311832914,0,0,1,3,2.0,0,0,1,0,38,0.0,0
1979,USA03,0.3420082652893708,0,0,1,3,2.0,0,0,1,0,11,0.0,0
1979,USA03,0.018647103910743645,0,0,1,3,2.0,0,0,1,0,2,1.0,0
1979,USA03,1.0060879787527606,0,0,1,3,2.0,0,1,0,0,2,2.0,0
1979,USA03,-0.9536472538857739,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,0.10873053439816349,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,-0.9228474581194934,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,1.608253583825177,0,0,1,3,2.0,0,0,1,0,26,0.0,0
1979,USA03,-0.4090831777363091,0,0,1,3,2.0,0,0,1,0,21,0.0,0
1979,USA03,0.12041352636760827,0,0,1,3,2.0,0,1,0,0,1,0.0,1
1979,USA03,-0.25890518665255335,0,0,1,3,2.0,0,0,0,1,7,0.0,0
1979,USA03,-0.11412734851738815,0,0,1,3,2.0,0,0,0,1,2,0.0,0
1979,USA03,3.2658307895151424,0,0,1,3,2.0,0,0,1,0,21,0.0,0
1979,USA03,0.6685097954209125,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-3.155952443574418,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-1.1814809331105671,0,0,1,3,2.0,0,0,1,0,7,0.0,0
1979,USA03,-0.4313463732207996,0,0,1,3,2.0,0,1,0,0,1,2.0,1
1979,USA03,1.032389270983221,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,-1.6216680780787764,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.3666356855742521,0,0,1,3,2.0,0,0,0,1,5,0.0,0
1979,USA03,0.3323562541837166,0,0,1,3,2.0,0,0,0,1,20,0.0,0
1979,USA03,0.8348740032601789,0,0,1,3,2.0,0,1,0,0,1,0.0,1
1979,USA03,-3.880622539749778,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-1.5462345316118928,0,0,1,3,2.0,0,0,0,1,3,0.0,0
1979,USA03,1.7836436885103595,0,0,1,3,2.0,0,0,1,0,4,0.0,0
1979,USA03,-2.6954174973168574,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,-0.29439280028970494,0,0,1,3,2.0,0,0,1,0,11,0.0,0
1979,USA03,1.7055271300143664,0,0,1,3,2.0,0,1,0,0,4,2.0,0
1979,USA03,0.33067969185010515,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,1.213175507926044,0,0,1,3,2.0,0,0,0,1,9,0.0,0
1979,USA03,0.6112838578999087,0,0,1,3,2.0,0,1,0,0,4,2.0,0
1979,USA03,1.1646088128859473,0,0,1,3,2.0,0,0,1,0,3,1.0,0
1979,USA03,2.250330840552418,0,0,1,3,2.0,0,0,0,1,4,1.0,0
1979,USA03,1.849521265036448,0,0,1,3,2.0,0,0,0,1,1,0.0,1
1979,USA03,0.09489136312439594,0,0,1,3,2.0,0,0,0,1,1,1.0,1
1979,USA03,0.1405212594686276,0,0,1,3,2.0,0,1,0,0,5,0.0,0
1979,USA03,1.6319260813973564,0,0,1,3,2.0,0,0,1,0,3,0.0,0
1979,USA03,0.887799273862953,0,0,1,3,2.0,0,0,0,1,3,0.0,0
1979,USA03,-0.015366741201493284,0,0,1,3,2.0,0,0,1,0,9,0.0,0
1979,USA03,0.37806487912348796,0,0,1,3,2.0,0,0,1,0,2,1.0,0
1979,USA03,0.0037489684343556817,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,3.322795140171353,0,0,1,3,2.0,0,0,1,0,6,0.0,0
1979,USA03,-0.7419304011371466,0,0,1,3,2.0,0,1,0,0,25,0.0,0
1979,USA03,-0.9060766386480408,0,0,1,3,2.0,0,0,1,0,4,0.0,0
1979,USA03,0.22377031470826392,0,0,1,3,2.0,0,0,1,0,14,0.0,0
1979,USA03,0.35108341169496704,0,0,1,3,2.0,0,0,0,1,9,0.0,0
1979,USA03,1.7890889452746466,0,0,1,3,2.0,0,0,1,0,3,1.0,0
1979,USA03,0.5411163444667162,0,0,1,3,2.0,0,0,1,0,7,0.0,0
1979,USA03,0.6756161701897199,0,0,1,3,2.0,0,1,0,0,18,0.0,0
1979,USA03,-0.7777730050447396,0,0,1,3,2.0,0,0,1,0,10,0.0,0
1979,USA03,4.524553295766623,0,0,1,3,2.0,0,0,0,0,0,0.0,0
